sample;read1;read2
26;Carbapenemases_illumina/108180-12_S26_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/108180-12_S26_L001_R2_001_val_2.fq.gz
15;Carbapenemases_illumina/118937-12_S15_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/118937-12_S15_L001_R2_001_val_2.fq.gz
16;Carbapenemases_illumina/120669-12_S16_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/120669-12_S16_L001_R2_001_val_2.fq.gz
1;Carbapenemases_illumina/127972-15_S1_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/127972-15_S1_L001_R2_001_val_2.fq.gz
2;Carbapenemases_illumina/127978-15_S2_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/127978-15_S2_L001_R2_001_val_2.fq.gz
3;Carbapenemases_illumina/128023-15_S3_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/128023-15_S3_L001_R2_001_val_2.fq.gz
4;Carbapenemases_illumina/128025-15_S4_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/128025-15_S4_L001_R2_001_val_2.fq.gz
5;Carbapenemases_illumina/128082-15_S5_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/128082-15_S5_L001_R2_001_val_2.fq.gz
7;Carbapenemases_illumina/128183-15_S7_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/128183-15_S7_L001_R2_001_val_2.fq.gz
6;Carbapenemases_illumina/128185-15_S6_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/128185-15_S6_L001_R2_001_val_2.fq.gz
44;Carbapenemases_illumina/131550-16_S44_L001_R1_001_val_1.fq.gz;Carbapenemases_illumina/131550-16_S44_L001_R2_001_val_2.fq.gz
9;Carbapenemases_illumina/2018_adds/2451167-16-1_S9_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/2451167-16-1_S9_L001_R2_001.fastq.gz
10;Carbapenemases_illumina/2018_adds/2451167-16-2_S10_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/2451167-16-2_S10_L001_R2_001.fastq.gz
15;Carbapenemases_illumina/2018_adds/400733-17_S15_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/400733-17_S15_L001_R2_001.fastq.gz
14;Carbapenemases_illumina/2018_adds/400852-17_S14_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/400852-17_S14_L001_R2_001.fastq.gz
16;Carbapenemases_illumina/2018_adds/400901-17_S16_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/400901-17_S16_L001_R2_001.fastq.gz
21;Carbapenemases_illumina/2018_adds/401122-15_S21_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/401122-15_S21_L001_R2_001.fastq.gz
17;Carbapenemases_illumina/2018_adds/401141-17_S17_L001_R1_001.fastq.gz;Carbapenemases_illumina/2018_adds/401141-17_S17_L001_R2_001.fastq.gz
